package_pin,side,slot,function,direction,cell,rtl_signal,instance
P1,south,1,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[0].u_pad
P2,south,2,mgmt_clk,input,sg13g2_IOPadIn,mgmt_clk_i,u_mgmt_clk_pad
P3,south,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[0],u_gpio_pads[0].u_pad
P4,south,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[1],u_gpio_pads[1].u_pad
P5,south,5,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[0].u_pad
P6,south,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[2],u_gpio_pads[2].u_pad
P7,south,7,mgmt_rst_n,input,sg13g2_IOPadIn,mgmt_rst_n_i,u_mgmt_rst_n_pad
P8,south,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[3],u_gpio_pads[3].u_pad
P9,east,1,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[0].u_pad
P10,east,2,jtag_tck,input,sg13g2_IOPadIn,jtag_tck_i,u_jtag_tck_pad
P11,east,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[4],u_gpio_pads[4].u_pad
P12,east,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[5],u_gpio_pads[5].u_pad
P13,east,5,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[0].u_pad
P14,east,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[6],u_gpio_pads[6].u_pad
P15,east,7,jtag_tms,input,sg13g2_IOPadIn,jtag_tms_i,u_jtag_tms_pad
P16,east,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[7],u_gpio_pads[7].u_pad
P17,north,1,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[1].u_pad
P18,north,2,jtag_tdi,input,sg13g2_IOPadIn,jtag_tdi_i,u_jtag_tdi_pad
P19,north,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[8],u_gpio_pads[8].u_pad
P20,north,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[9],u_gpio_pads[9].u_pad
P21,north,5,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[1].u_pad
P22,north,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[10],u_gpio_pads[10].u_pad
P23,north,7,jtag_tdo,output,sg13g2_IOPadOut30mA,jtag_tdo_o,u_jtag_tdo_pad
P24,north,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[11],u_gpio_pads[11].u_pad
P25,west,1,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[1].u_pad
P26,west,2,uart_rx,input,sg13g2_IOPadIn,uart_rx_i,u_uart_rx_pad
P27,west,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[12],u_gpio_pads[12].u_pad
P28,west,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[13],u_gpio_pads[13].u_pad
P29,west,5,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[1].u_pad
P30,west,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[14],u_gpio_pads[14].u_pad
P31,west,7,uart_tx,output,sg13g2_IOPadOut30mA,uart_tx_o,u_uart_tx_pad
P32,west,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[15],u_gpio_pads[15].u_pad
